127.0.0.1 - - [04/Feb/2023:20:14:20 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:14:21 +0530] "GET /SpringBoot/pages/avil_product.jsp HTTP/1.1" 500 2620
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:19:55 +0530] "GET /SpringBoot/ad_login.jsp HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /SpringBoot/HOME_SCREEN.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /SpringBoot/sporty.png HTTP/1.1" 200 97811
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /SpringBoot/ad_login.jsp HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /SpringBoot/ad_login.jsp HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:35 +0530] "GET /SpringBoot/HOME_SCREEN.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:36 +0530] "GET /SpringBoot/Admin_main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:23:40 +0530] "GET /SpringBoot/ad_login.jsp HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:24:13 +0530] "GET /SpringBoot/HOME_SCREEN.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:25:42 +0530] "GET /SpringBoot/Admin_main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:26:14 +0530] "GET /SpringBoot/ad_login.jsp HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:27:05 +0530] "GET /SpringBoot/ad_login?ad_fname=test%40gmail.com&ad_con=hbfjwhfvwhvc HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:27:14 +0530] "GET /SpringBoot/apply_admin.jsp HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:28:34 +0530] "GET /SpringBoot/apply_admin?ad_fname=test&ad_lname=dine&ad_phone=6303186864&ad_mail=test%40gmail.com&ad_dob=&ad_pass=Dinesh%40123&ad_con=dinesh%40123&ad_state=andhra&ad_dist=andsdv&ad_taluka=rssde&ad_pin=516360&ad_gen=male HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:28:46 +0530] "GET /SpringBoot/Admin_main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:28:48 +0530] "GET /SpringBoot/Admin_main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:28:55 +0530] "GET /SpringBoot/User_main.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:29:23 +0530] "GET /SpringBoot/insert_user.jsp HTTP/1.1" 200 3978
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:29:50 +0530] "GET /SpringBoot/user_login.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:30:18 +0530] "GET /SpringBoot/insert_user.jsp HTTP/1.1" 200 3978
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:30:27 +0530] "GET /SpringBoot/HOME_SCREEN.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:31:04 +0530] "GET /SpringBoot/HOME_CART.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:31:56 +0530] "GET /SpringBoot/User_main.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:32:00 +0530] "GET /SpringBoot/HOME_SCREEN.jsp HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:32:01 +0530] "GET /SpringBoot/User_main.jsp HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:32:03 +0530] "GET /SpringBoot/user_login.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [04/Feb/2023:20:32:16 +0530] "GET /SpringBoot/user_login?user_fname=test%40gmail.com&user_conpass=Dinesh%40123 HTTP/1.1" 404 777
